ID,Type,Gender,TotalStats,SpecialStats,Star,SpecialStar,Parts
0,basic,Male,"47,47,43,44,44","0,0,0,0,0",3,0,"B_Body_Skin_White,B_Shoes_3,B_Bot_6,B_Top_5,B_Head_Skin_White,B_Face_13,B_Hair_1"
1,basic,Male,"36,35,34,37,35","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_5,B_Bot_1,B_Top_3,B_Head_Skin_Black,B_Face_2,B_Hair_6,B_Face_Acc_3"
2,basic,Female,"25,28,24,26,27","0,0,0,0,0",1,0,"G_Hair_Long_13,G_Body_Skin_Yellow,G_Shoes_6,G_Bot_7,G_Top_0,G_Head_Skin_Yellow,G_Face_4,G_Hair_13"
3,basic,Female,"29,33,32,28,30","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_Yellow,G_Shoes_8,G_Bot_7,G_Top_7,G_Head_Skin_Yellow,G_Face_18,G_Hair_5"
4,basic,Male,"34,35,37,36,35","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_2,B_Bot_0,B_Top_3,B_Head_Skin_Black,B_Face_11,B_Hair_2,B_Face_Acc_1"
5,basic,Male,"29,30,27,30,28","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_0,B_Bot_0,B_Top_0,B_Head_Skin_Yellow,B_Face_0,B_Hair_2,B_Face_Acc_1"
6,basic,Male,"38,38,34,40,36","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_6,B_Bot_2,B_Top_0,B_Head_Skin_White,B_Face_1,B_Hair_1,B_Face_Acc_0"
7,basic,Male,"40,38,34,36,40","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_9,B_Bot_6,B_Top_1,B_Head_Skin_Yellow,B_Face_1,B_Hair_3"
8,basic,Female,"37,31,34,33,31","0,0,0,0,0",1,0,"G_Hair_Long_4,G_Body_Skin_White,G_Shoes_3,G_Bot_1,G_Top_5,G_Head_Skin_White,G_Face_3,G_Hair_4,G_Face_Acc_0"
9,basic,Male,"37,30,31,32,32","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_6,B_Bot_4,B_Top_8,B_Head_Skin_White,B_Face_2,B_Hair_11"
10,basic,Female,"40,43,43,41,40","0,0,0,0,0",2,0,"G_Hair_Long_11,G_Body_Skin_Black,G_Shoes_8,G_Bot_7,G_Top_2,G_Head_Skin_Black,G_Face_21,G_Hair_11,G_Face_Acc_0"
11,basic,Female,"32,29,35,30,33","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_White,G_Shoes_8,G_Bot_5,G_Top_3,G_Head_Skin_White,G_Face_13,G_Hair_2"
12,basic,Female,"42,44,38,41,38","0,0,0,0,0",2,0,"G_Hair_Long_12,G_Body_Skin_Black,G_Shoes_0,G_Bot_7,G_Top_0,G_Head_Skin_Black,G_Face_6,G_Hair_12,G_Face_Acc_2"
13,basic,Female,"35,38,34,31,35","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_Yellow,G_Shoes_6,G_Bot_5,G_Top_1,G_Head_Skin_Yellow,G_Face_15,G_Hair_2,G_Face_Acc_2"
14,basic,Female,"33,35,36,34,35","0,0,0,0,0",1,0,"G_Hair_Long_8,G_Body_Skin_White,G_Shoes_6,G_Bot_7,G_Top_2,G_Head_Skin_White,G_Face_21,G_Hair_8"
15,basic,Female,"29,26,31,29,26","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_2,G_Bot_7,G_Top_0,G_Head_Skin_White,G_Face_9,G_Hair_5,G_Face_Acc_0"
16,basic,Female,"41,44,43,44,42","0,0,0,0,0",2,0,"G_Hair_Long_3,G_Body_Skin_Black,G_Shoes_4,G_Bot_8,G_Top_5,G_Head_Skin_Black,G_Face_15,G_Hair_3,G_Face_Acc_0"
17,basic,Male,"23,23,23,21,23","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_8,B_Bot_2,B_Top_3,B_Head_Skin_White,B_Face_10,B_Hair_5"
18,basic,Male,"39,43,42,43,41","0,0,0,0,0",2,0,"B_Body_Skin_Black,B_Shoes_9,B_Bot_5,B_Top_3,B_Head_Skin_Black,B_Face_13,B_Hair_8,B_Face_Acc_0"
19,basic,Male,"31,36,30,30,33","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_3,B_Bot_0,B_Top_3,B_Head_Skin_Yellow,B_Face_6,B_Hair_10,B_Face_Acc_3"
20,basic,Female,"46,45,40,45,45","0,0,0,0,0",2,0,"G_Hair_Long_4,G_Body_Skin_Yellow,G_Shoes_7,G_Bot_5,G_Top_5,G_Head_Skin_Yellow,G_Face_20,G_Hair_4,G_Face_Acc_0"
21,special,Female,"45,44,47,43,44","96,89,97,86,89",2,6,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_4,G_Bot_1,G_Top_5,G_Head_Skin_White,G_Face_21,G_Hair_5,G_Face_Acc_3,S_44"
22,basic,Female,"34,42,38,37,38","0,0,0,0,0",1,0,"G_Hair_Long_13,G_Body_Skin_Black,G_Shoes_8,G_Bot_0,G_Top_2,G_Head_Skin_Black,G_Face_21,G_Hair_13"
23,basic,Male,"39,37,34,36,39","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_9,B_Bot_6,B_Top_2,B_Head_Skin_White,B_Face_12,B_Hair_0,B_Face_Acc_0"
24,basic,Male,"22,21,21,21,24","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_9,B_Bot_0,B_Top_0,B_Head_Skin_Yellow,B_Face_10,B_Hair_2"
25,basic,Male,"38,33,31,34,35","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_5,B_Bot_1,B_Top_3,B_Head_Skin_Yellow,B_Face_12,B_Hair_8"
26,basic,Female,"38,37,34,39,40","0,0,0,0,0",1,0,"G_Hair_Long_8,G_Body_Skin_Yellow,G_Shoes_7,G_Bot_2,G_Top_5,G_Head_Skin_Yellow,G_Face_13,G_Hair_8,G_Face_Acc_2"
27,basic,Male,"50,53,51,47,46","0,0,0,0,0",4,0,"B_Body_Skin_White,B_Shoes_7,B_Bot_7,B_Top_5,B_Head_Skin_White,B_Face_7,B_Hair_10,B_Face_Acc_0"
28,basic,Female,"29,27,29,26,27","0,0,0,0,0",1,0,"G_Hair_Long_13,G_Body_Skin_Black,G_Shoes_2,G_Bot_4,G_Top_5,G_Head_Skin_Black,G_Face_5,G_Hair_13"
29,basic,Male,"34,30,27,34,31","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_1,B_Bot_1,B_Top_9,B_Head_Skin_White,B_Face_1,B_Hair_6,B_Face_Acc_3"
30,basic,Male,"36,30,30,30,35","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_9,B_Bot_4,B_Top_2,B_Head_Skin_Yellow,B_Face_4,B_Hair_3"
31,basic,Female,"38,37,38,34,33","0,0,0,0,0",1,0,"G_Hair_Long_4,G_Body_Skin_Black,G_Shoes_3,G_Bot_7,G_Top_1,G_Head_Skin_Black,G_Face_20,G_Hair_4,G_Face_Acc_0"
32,basic,Female,"35,37,37,34,35","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_Black,G_Shoes_7,G_Bot_9,G_Top_1,G_Head_Skin_Black,G_Face_5,G_Hair_2,G_Face_Acc_1"
